edad,sexo,estudio,trabajo,ingresos,target
16,1,1,0,1,0
20,0,1,1,3,1
20,0,1,1,3,0
19,0,1,0,1,0
17,1,1,0,0,0
16,1,1,0,1,0
20,1,1,0,2,0
17,1,1,0,1,0
16,0,1,1,1,1
20,1,1,1,3,0
16,0,1,0,1,0
19,0,1,0,2,1
17,1,1,0,2,0
20,1,1,0,3,0
18,1,1,0,4,0
18,1,1,1,3,0
18,1,1,0,4,1
18,1,1,0,3,0
71,1,1,0,1,0
20,0,1,0,3,0
16,0,1,0,3,0
18,0,1,1,1,0
17,0,1,0,2,0
16,0,1,0,1,0
20,1,1,0,1,0
20,0,1,0,1,0
23,0,1,0,3,0
51,1,0,1,4,0
51,0,0,1,4,1
38,1,0,1,4,0
37,0,0,1,4,0
20,0,1,1,3,0
21,0,1,1,3,0
24,0,1,1,2,0
22,1,1,1,2,0
21,0,1,0,2,0
39,0,0,1,4,0
60,1,0,1,0,0
38,1,0,1,3,0
22,1,1,0,3,0
25,1,1,0,4,0
,1,0,1,4,0
35,1,0,1,4,0
54,0,0,1,4,0
56,0,0,1,0,0
24,0,0,1,4,0
24,0,0,1,4,0
60,0,0,1,4,0
29,1,0,1,4,0
47,0,0,1,4,0
26,1,0,1,4,0
39,0,0,1,4,0
28,1,0,1,4,0
31,0,0,1,4,0
43,0,0,1,4,1
67,0,0,1,4,1
57,0,0,1,3,0
28,0,0,1,4,0
26,0,0,1,4,0
27,0,0,1,4,0
49,1,0,1,4,0
42,1,0,1,3,0
23,0,1,0,4,1
23,1,1,0,2,0
30,0,0,1,4,0
22,0,1,0,3,1
43,1,0,1,4,1
23,0,1,1,3,1
52,1,0,1,4,0
23,0,1,0,3,0
53,0,0,1,3,0
43,1,0,1,4,0
31,1,0,1,3,0
30,1,0,1,4,0
61,1,0,1,4,0
57,1,0,1,3,0
41,1,0,1,3,0
39,1,0,1,4,0
38,1,0,1,4,0
54,1,0,1,3,0
18,1,1,0,1,0
19,0,1,0,1,0
20,0,1,0,4,0
20,1,1,1,3,1
20,0,1,0,2,0
22,0,1,0,2,0
22,0,1,0,2,0
23,1,1,0,2,0
44,1,0,1,4,1
45,1,1,1,3,0
23,0,1,1,3,0
23,1,1,0,1,0
40,0,1,1,4,0
42,1,0,1,4,0
34,0,1,1,4,0
36,0,1,1,2,0
39,0,1,1,4,0
51,1,0,1,4,0
54,0,1,1,4,0
56,0,0,1,4,1
29,1,0,1,1,0
30,0,0,1,3,1
31,1,0,1,4,0
35,0,1,1,0,0
19,1,0,1,2,0
59,1,1,1,4,0
69,0,0,1,4,0